                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0958,                0.75701,                 1.1465,                0.89275,                0.77837,                 0.8611,                0.42013,                 1.8088,                 1.0286,                 1.6199,              0.0015812,              0.0015812,              0.0015812
                     55,                 1.1022,                0.79589,                 1.1562,                0.77137,                0.87197,                0.84282,                0.42167,                 1.6809,                 1.0251,                 1.5759,              0.0015795,              0.0015795,              0.0015795
                     56,                  1.135,                0.78038,                 1.1897,                0.70785,                0.80564,                0.80992,                0.41305,                 1.6379,                  1.112,                 1.5569,              0.0015779,              0.0015779,              0.0015779
                     57,                 1.0831,                0.73622,                   1.18,                0.67706,                0.61667,                0.64614,                0.32498,                 1.7864,                 1.4636,                  1.746,              0.0015762,              0.0015762,              0.0015762
                     58,                 1.0642,                0.72988,                 1.1506,                0.86744,                0.75693,                0.83469,                 0.4249,                 1.6882,                0.98888,                 1.5301,              0.0015746,              0.0015746,              0.0015746
                     59,                 1.0297,                0.72526,                 1.1098,                0.64778,                0.84524,                0.76174,                0.41661,                 1.7281,                 1.1066,                 1.5642,              0.0015729,              0.0015729,              0.0015729
                     60,                  1.021,                0.72448,                 1.1381,                0.81622,                 0.8088,                0.87486,                0.40048,                 1.8461,                  1.027,                 1.7434,              0.0015713,              0.0015713,              0.0015713
                     61,                 1.0692,                0.74248,                 1.1295,                 0.7638,                0.83095,                 0.8397,                0.45544,                 1.5428,                 1.1209,                 1.4548,              0.0015696,              0.0015696,              0.0015696
                     62,                 1.0793,                0.76324,                  1.132,                0.77592,                0.89739,                0.87527,                0.46441,                 1.6638,                 1.0127,                 1.5623,               0.001568,               0.001568,               0.001568
                     63,                0.98708,                0.74977,                  1.117,                0.79699,                0.81899,                0.85995,                0.46363,                 1.6084,                 1.1216,                 1.5411,              0.0015663,              0.0015663,              0.0015663
                     64,                0.99564,                0.73404,                 1.1125,                0.79938,                0.72381,                0.77383,                0.35036,                 1.9153,                 1.1357,                 1.9073,              0.0015647,              0.0015647,              0.0015647
                     65,                 1.1007,                0.74605,                  1.173,                0.81146,                0.66852,                0.69472,                0.31175,                 1.9523,                 1.1758,                 1.8432,               0.001563,               0.001563,               0.001563
                     66,                 1.0655,                0.75312,                 1.1282,                0.89935,                0.70712,                 0.8972,                0.43599,                 1.7697,                0.95705,                 1.6505,              0.0015614,              0.0015614,              0.0015614
                     67,                 1.0185,                0.68913,                 1.1247,                0.63256,                0.60952,                0.61909,                0.29885,                 1.7021,                 1.2414,                 1.6778,              0.0015597,              0.0015597,              0.0015597
                     68,                 1.0351,                0.69897,                 1.1273,                0.74371,                0.66905,                0.71604,                0.41027,                 1.5932,                 1.0764,                 1.5594,              0.0015581,              0.0015581,              0.0015581
                     69,                 1.0434,                0.69665,                 1.1256,                0.76244,                0.55693,                0.66782,                0.33439,                 1.7438,                 1.3939,                 1.6933,              0.0015564,              0.0015564,              0.0015564
                     70,                 1.0246,                0.71896,                 1.1126,                0.73345,                0.64916,                0.70552,                0.38654,                 1.6168,                 1.1743,                 1.5369,              0.0015548,              0.0015548,              0.0015548
                     71,                0.99831,                0.70801,                 1.1101,                0.79764,                0.88095,                0.83504,                0.40536,                 1.7717,                 1.0272,                 1.5901,              0.0015531,              0.0015531,              0.0015531
                     72,                 0.9973,                0.67074,                 1.1059,                0.87101,                0.82045,                0.83932,                0.46794,                 1.7082,                0.99766,                 1.6074,              0.0015515,              0.0015515,              0.0015515
                     73,                 1.0348,                0.72636,                 1.1099,                0.68453,                0.79483,                0.77596,                0.39562,                 1.7587,                 1.0657,                 1.6354,              0.0015498,              0.0015498,              0.0015498
                     74,                 1.0155,                0.69551,                 1.1046,                0.75559,                0.65974,                0.73393,                0.37371,                 1.8219,                 1.2509,                 1.6996,              0.0015482,              0.0015482,              0.0015482
                     75,                 1.0118,                0.69179,                 1.1066,                0.79137,                0.78444,                0.84629,                0.39776,                 1.7896,                 1.2364,                  1.684,              0.0015465,              0.0015465,              0.0015465
                     76,                 1.0101,                 0.6728,                 1.1022,                0.82781,                0.80888,                0.84786,                0.41428,                 1.7587,                 1.0207,                 1.6858,              0.0015449,              0.0015449,              0.0015449
                     77,                0.96252,                0.66845,                 1.0702,                0.74499,                0.85054,                0.88419,                0.46222,                 1.6767,                0.99822,                 1.6149,              0.0015432,              0.0015432,              0.0015432
                     78,                 1.0352,                0.72017,                 1.1195,                  0.739,                0.85857,                0.83555,                0.44518,                 1.6428,                  1.027,                 1.6478,              0.0015416,              0.0015416,              0.0015416
                     79,                0.94453,                0.66417,                 1.0866,                0.75158,                0.86429,                0.78315,                0.42718,                 1.6724,                 1.0165,                 1.5854,              0.0015399,              0.0015399,              0.0015399
                     80,                0.93411,                0.66483,                 1.0757,                0.88557,                0.89252,                0.87547,                0.52218,                 1.5399,                0.83388,                 1.4965,              0.0015383,              0.0015383,              0.0015383
                     81,                0.92127,                0.64152,                 1.0896,                0.75687,                0.82619,                0.89327,                0.48266,                 1.6351,                0.97477,                 1.5872,              0.0015366,              0.0015366,              0.0015366
                     82,                0.95122,                0.65358,                 1.0759,                0.77672,                0.89436,                0.86011,                0.44983,                 1.6249,                 1.0231,                 1.5517,               0.001535,               0.001535,               0.001535
                     83,                0.92558,                0.64716,                 1.0635,                0.90096,                0.84435,                0.85122,                0.45212,                 1.7215,                 1.0863,                 1.6569,              0.0015333,              0.0015333,              0.0015333
                     84,                0.95339,                0.63292,                 1.0804,                0.88085,                0.89564,                0.89315,                0.47348,                 1.6564,                0.96065,                 1.5701,              0.0015317,              0.0015317,              0.0015317
                     85,                0.92615,                0.64662,                 1.0662,                0.87522,                0.84762,                 0.8545,                0.47235,                 1.5961,                  1.046,                 1.5773,                0.00153,                0.00153,                0.00153
                     86,                0.93506,                 0.6191,                  1.071,                0.77594,                0.83979,                0.83212,                0.43853,                  1.608,                 1.2138,                 1.5405,              0.0015284,              0.0015284,              0.0015284
                     87,                0.92193,                 0.6264,                 1.0546,                0.78151,                0.86429,                0.87678,                0.48498,                 1.5593,                 1.0658,                 1.5279,              0.0015267,              0.0015267,              0.0015267
                     88,                0.89521,                0.61294,                 1.0553,                0.84453,                0.82761,                0.81113,                0.44248,                 1.6233,                 0.9117,                 1.5919,              0.0015251,              0.0015251,              0.0015251
                     89,                0.92968,                0.63163,                 1.0884,                0.86242,                0.77979,                0.81742,                0.44021,                 1.6051,                0.95983,                 1.5639,              0.0015234,              0.0015234,              0.0015234
                     90,                0.94651,                0.63225,                 1.0671,                0.80723,                0.73164,                 0.8053,                 0.4419,                  1.599,                 1.0624,                 1.5579,              0.0015218,              0.0015218,              0.0015218
                     91,                0.95012,                0.64123,                 1.0767,                0.81827,                0.72054,                0.81286,                0.42681,                 1.7221,                 1.0411,                 1.6177,              0.0015201,              0.0015201,              0.0015201
                     92,                0.93599,                 0.6191,                 1.0779,                0.81999,                0.74134,                0.84552,                0.44266,                 1.6535,                 1.0789,                 1.5465,              0.0015185,              0.0015185,              0.0015185
                     93,                0.84748,                0.59397,                 1.0262,                0.83528,                    0.9,                 0.9058,                0.47052,                 1.6394,                0.95876,                 1.6233,              0.0015168,              0.0015168,              0.0015168
                     94,                0.90272,                0.59923,                 1.0552,                0.78373,                0.84222,                0.83459,                 0.4466,                  1.663,                0.89572,                 1.4818,              0.0015152,              0.0015152,              0.0015152
                     95,                0.91064,                0.62842,                 1.0672,                0.84788,                0.88291,                0.87657,                0.44698,                 1.7054,                0.91093,                 1.5623,              0.0015135,              0.0015135,              0.0015135
                     96,                0.88061,                0.61915,                 1.0361,                0.80987,                0.95004,                0.88023,                0.45725,                 1.6955,                0.90302,                 1.5639,              0.0015119,              0.0015119,              0.0015119
                     97,                0.88744,                 0.5945,                 1.0438,                 0.7371,                0.76462,                0.81694,                0.41639,                 1.6582,                 1.1426,                 1.5594,              0.0015102,              0.0015102,              0.0015102
                     98,                0.91176,                0.61061,                 1.0425,                0.81947,                0.84762,                0.87388,                0.45297,                 1.6808,                 0.9228,                 1.6079,              0.0015086,              0.0015086,              0.0015086
                     99,                0.86248,                0.55986,                 1.0255,                0.78018,                0.92058,                0.89444,                0.46748,                 1.6942,                 0.8994,                 1.5596,              0.0015069,              0.0015069,              0.0015069
                    100,                0.88555,                0.56034,                 1.0381,                 0.8432,                0.94878,                0.89393,                0.45496,                 1.6671,                0.87663,                 1.6143,              0.0015053,              0.0015053,              0.0015053
                    101,                 0.8862,                0.58407,                  1.039,                0.87634,                0.91667,                0.88179,                0.48138,                 1.6452,                0.82814,                 1.5528,              0.0015036,              0.0015036,              0.0015036
                    102,                 0.8775,                0.57383,                 1.0517,                0.83879,                0.90828,                0.89541,                0.50681,                 1.5742,                0.89308,                 1.4639,               0.001502,               0.001502,               0.001502
                    103,                0.88422,                0.59161,                 1.0453,                 0.7604,                0.88636,                0.81953,                0.44658,                 1.6235,                 1.1686,                  1.504,              0.0015003,              0.0015003,              0.0015003
                    104,                0.84295,                0.59084,                  1.039,                0.84877,                0.88333,                0.90373,                0.48418,                 1.6101,                 0.9388,                  1.588,              0.0014987,              0.0014987,              0.0014987
                    105,                0.86291,                0.58677,                  1.055,                0.83267,                0.83831,                0.84502,                0.41454,                 1.7688,                 1.0853,                 1.6482,               0.001497,               0.001497,               0.001497
                    106,                0.86658,                0.58621,                 1.0466,                0.83732,                0.90934,                0.90306,                0.43153,                 1.7591,                 1.0027,                 1.6454,              0.0014954,              0.0014954,              0.0014954
                    107,                0.87117,                0.58423,                 1.0372,                 0.7669,                0.81722,                 0.7949,                0.39143,                 1.6258,                 1.0819,                 1.5269,              0.0014937,              0.0014937,              0.0014937
                    108,                0.87945,                0.58392,                 1.0295,                0.81182,                0.77581,                0.79824,                0.37984,                 1.8765,                 1.0007,                 1.6369,              0.0014921,              0.0014921,              0.0014921
                    109,                0.93949,                0.62794,                 1.0747,                0.62648,                 0.7381,                0.64073,                0.33152,                 1.8712,                 1.1418,                 1.7901,              0.0014904,              0.0014904,              0.0014904
                    110,                 0.8631,                0.58033,                 1.0484,                 0.7759,                0.79443,                0.84258,                0.44827,                 1.6715,                0.98009,                 1.6481,              0.0014888,              0.0014888,              0.0014888
                    111,                0.85456,                0.55878,                  1.049,                0.74878,                0.88095,                0.85649,                0.39532,                 1.8242,                 1.0232,                 1.7209,              0.0014871,              0.0014871,              0.0014871
                    112,                0.88791,                0.57605,                 1.0433,                 0.7954,                0.74048,                0.81333,                0.46236,                 1.6141,                 1.0601,                 1.4936,              0.0014855,              0.0014855,              0.0014855
                    113,                0.85853,                 0.5927,                 1.0426,                0.81864,                0.68068,                0.78518,                0.43109,                 1.6214,                 1.0276,                 1.5676,              0.0014838,              0.0014838,              0.0014838
                    114,                0.83764,                0.56638,                 1.0366,                0.81187,                0.85942,                0.86854,                0.51806,                  1.532,                0.84105,                 1.4956,              0.0014822,              0.0014822,              0.0014822
                    115,                0.83524,                0.57857,                 1.0444,                0.85703,                0.86667,                0.85557,                0.46097,                 1.6649,                0.89264,                 1.5966,              0.0014805,              0.0014805,              0.0014805
                    116,                0.85684,                0.55856,                 1.0314,                0.89726,                  0.842,                0.89184,                0.49751,                 1.5998,                0.86416,                  1.511,              0.0014789,              0.0014789,              0.0014789
                    117,                0.85159,                  0.555,                 1.0431,                0.75893,                0.86957,                0.86453,                0.44269,                 1.6832,                 1.0851,                 1.7167,              0.0014772,              0.0014772,              0.0014772
                    118,                0.83008,                0.54884,                 1.0372,                0.72105,                0.89596,                0.79642,                0.41885,                 1.6322,                   1.16,                 1.6072,              0.0014756,              0.0014756,              0.0014756
                    119,                0.82137,                0.53322,                 1.0237,                0.74066,                0.91667,                0.83106,                0.44363,                 1.6115,                 1.0964,                 1.5949,              0.0014739,              0.0014739,              0.0014739
                    120,                0.81576,                0.53104,                 1.0017,                0.82695,                0.90933,                0.87437,                0.49258,                 1.5381,                0.91859,                 1.4852,              0.0014723,              0.0014723,              0.0014723
                    121,                0.83652,                0.56717,                 1.0345,                0.90251,                0.85285,                0.90453,                0.51277,                 1.5774,                0.86318,                 1.5421,              0.0014706,              0.0014706,              0.0014706
                    122,                0.81598,                0.54784,                 1.0134,                0.73132,                0.85999,                0.79291,                0.46651,                 1.6009,                 1.1239,                  1.498,               0.001469,               0.001469,               0.001469
                    123,                0.81701,                 0.5307,                 1.0138,                0.76493,                 0.8787,                0.82056,                0.42743,                 1.7715,                  1.033,                 1.6733,              0.0014673,              0.0014673,              0.0014673
                    124,                0.80535,                0.55154,                 1.0104,                0.88676,                0.85865,                0.90056,                0.50079,                 1.5501,                0.91603,                 1.5565,              0.0014657,              0.0014657,              0.0014657
                    125,                0.78935,                0.54445,                 1.0174,                0.83294,                0.85817,                0.88012,                0.46891,                 1.6954,                 1.0432,                 1.5858,               0.001464,               0.001464,               0.001464
                    126,                 0.7778,                0.53483,                 1.0178,                0.90766,                0.91667,                0.90967,                0.48581,                 1.6991,                0.95633,                 1.5648,              0.0014624,              0.0014624,              0.0014624
                    127,                0.79753,                0.52308,                 1.0091,                0.83736,                0.82601,                0.85508,                0.44365,                 1.7113,                 1.1127,                 1.5673,              0.0014607,              0.0014607,              0.0014607
                    128,                0.80664,                0.54695,                  1.019,                0.78124,                0.81224,                0.80815,                0.43131,                 1.7118,                 1.1199,                 1.5922,              0.0014591,              0.0014591,              0.0014591
                    129,                 0.8184,                0.53775,                  1.004,                0.74164,                0.83213,                 0.8163,                0.43104,                 1.6474,                 1.1375,                 1.5511,              0.0014574,              0.0014574,              0.0014574
                    130,                 0.7859,                0.54399,                 1.0049,                0.78196,                0.79779,                0.86784,                0.49324,                 1.5996,                 1.0429,                 1.5297,              0.0014558,              0.0014558,              0.0014558
                    131,                0.78746,                0.51227,                 1.0001,                0.83157,                0.88392,                 0.8718,                0.45744,                  1.658,                 1.0723,                 1.5892,              0.0014541,              0.0014541,              0.0014541
                    132,                0.79438,                0.51804,                 1.0059,                0.85628,                 0.8711,                0.87787,                0.45212,                 1.5792,                 1.0019,                 1.5409,              0.0014525,              0.0014525,              0.0014525
                    133,                0.80425,                0.53089,                0.99897,                0.80171,                0.82352,                0.87648,                0.46312,                 1.6344,                 1.1939,                  1.567,              0.0014508,              0.0014508,              0.0014508
